date,state,Product,Problem,SRS,SRM
2023-04-23,in-ar,Online UPS,Charging Problem,Assigned,Carry in
2022-12-09,in-jh,UPS EB,No Display,Assigned,Call Center
2023-03-15,in-ml,Jumbo,BEEP Sound,Spare Parts Unavailable,Email
2022-09-19,in-ut,Jumbo,Load Problem,Estimation Pending Approval,Customer
2023-08-05,in-mp,Jumbo,Load Problem,Assigned,Customer
2023-03-18,in-up,UPS XP,No Display,Assigned,Call
2023-01-05,in-tr,UPS EB,Load Problem,Installation Done,Whatsapp
2023-06-23,in-mn,Online UPS,Switch Problem,Spare Parts Unavailable,Whatsapp
2023-02-27,in-rj,UPS E2,Load Problem,Safari,Customer
2022-09-21,in-ut,Jumbo,No Output Voltage,Assigned,Customer
2023-05-24,in-tr,UPS E2,Charging Problem,Spare Parts Unavailable,Email
2023-03-25,in-ut,Online UPS,Charging Problem,Spare Parts Unavailable,Whatsapp
2023-04-07,in-as,UPS XP,BEEP Sound,Spare Parts Unavailable,Whatsapp
2023-05-10,in-ml,Jumbo,No Output Voltage,Safari,Customer
2023-05-04,in-py,Stabilizer,Load Problem,Assigned,Whatsapp
2023-01-04,in-mp,UPS E2,BEEP Sound,Installation Done,Call
2023-03-18,in-ka,UPS EB,Switch Problem,Spare Parts Unavailable,Call
2022-12-17,in-mn,UPS E2,Load Problem,Assigned,Carry in
2022-10-08,in-tr,Online UPS,Load Problem,Safari,Customer
2023-07-05,in-ml,UPS E2,BEEP Sound,Spare Parts Unavailable,Call Center
2023-04-30,in-sk,Jumbo,Load Problem,Installation Done,Call Center
2023-01-24,in-sk,UPS EB,Backup Problem,Spare Parts Unavailable,Email
2023-04-22,in-mz,Stabilizer,No Output Voltage,Spare Parts Unavailable,Dealer
2023-03-19,in-ld,UPS E2,Charging Problem,Spare Parts Unavailable,Carry in
2022-09-12,in-br,UPS XP,Load Problem,Installation Done,Carry in
2022-10-15,in-up,UPS E2,Switch Problem,Safari,Whatsapp
2023-03-10,in-or,UPS XP,No Display,Estimation Pending Approval,Call
2023-03-29,in-kl,UPS EB,Load Problem,Spare Parts Unavailable,Call Center
2023-04-26,in-ml,UPS E2,Switch Problem,Installation Done,Call
2023-06-01,in-hp,UPS EB,Switch Problem,Spare Parts Unavailable,Email
2023-02-11,in-ka,UPS XP,No Output Voltage,Installation Done,Whatsapp
2022-12-18,in-dd,UPS E2,No Display,Safari,Carry in
2023-05-21,in-rj,Stabilizer,BEEP Sound,Spare Parts Unavailable,Dealer
2023-07-02,in-wb,UPS XP,Charging Problem,Installation Done,Customer
2023-01-02,in-ld,UPS EB,Backup Problem,Assigned,Call Center
2022-10-03,in-dn,UPS XP,Load Problem,Safari,Whatsapp
2023-04-25,in-py,UPS E2,BEEP Sound,Installation Done,Call Center
2023-04-18,in-ml,UPS E2,Switch Problem,Safari,Email
2023-08-15,in-mp,UPS E2,Load Problem,Safari,Carry in
2023-01-13,in-mn,Online UPS,Load Problem,Estimation Pending Approval,Call
2023-03-01,in-dd,Stabilizer,No Output Voltage,Estimation Pending Approval,Carry in
2023-05-11,in-nl,Stabilizer,Load Problem,Assigned,Customer
2022-11-17,in-ap,Online UPS,No Display,Spare Parts Unavailable,Email
2023-04-02,in-ct,Online UPS,Backup Problem,Safari,Dealer
2022-09-10,in-py,UPS EB,No Display,Spare Parts Unavailable,Customer
2023-06-02,in-dd,Stabilizer,No Display,Assigned,Email
2023-01-01,in-ka,UPS XP,Load Problem,Installation Done,Call Center
2023-05-19,in-or,Online UPS,Charging Problem,Spare Parts Unavailable,Dealer
2022-12-26,in-sk,Stabilizer,No Output Voltage,Safari,Carry in
2023-07-11,in-dn,UPS E2,No Display,Assigned,Call
2022-12-16,in-jh,Online UPS,BEEP Sound,Assigned,Dealer
2022-12-13,in-tg,Stabilizer,No Display,Safari,Carry in
2023-07-20,in-mn,Jumbo,BEEP Sound,Assigned,Customer
2022-11-03,in-br,Jumbo,No Display,Assigned,Call Center
2023-07-08,in-br,Jumbo,Switch Problem,Spare Parts Unavailable,Whatsapp
2023-03-27,in-kl,Online UPS,No Output Voltage,Estimation Pending Approval,Dealer
2023-03-26,in-br,Online UPS,Charging Problem,Safari,Dealer
2023-04-13,in-hp,Jumbo,BEEP Sound,Safari,Dealer
2022-12-07,in-dn,Stabilizer,No Output Voltage,Estimation Pending Approval,Customer
2022-11-18,in-ld,UPS XP,No Output Voltage,Safari,Email
2023-03-25,in-wb,Stabilizer,Charging Problem,Estimation Pending Approval,Call
2023-05-03,in-gj,Stabilizer,BEEP Sound,Assigned,Call
2023-02-22,in-an,UPS XP,No Display,Installation Done,Email
2023-05-14,in-py,Online UPS,No Display,Spare Parts Unavailable,Whatsapp
2023-06-30,in-gj,UPS EB,Charging Problem,Estimation Pending Approval,Dealer
2023-07-02,in-wb,Jumbo,Load Problem,Spare Parts Unavailable,Call Center
2022-12-20,in-ka,Stabilizer,BEEP Sound,Spare Parts Unavailable,Whatsapp
2023-04-28,in-hp,UPS EB,Load Problem,Assigned,Customer
2022-12-17,in-ut,Online UPS,Switch Problem,Assigned,Call
2022-11-02,in-dn,Stabilizer,Load Problem,Installation Done,Email
2023-04-12,in-dl,UPS EB,No Display,Installation Done,Email
2022-10-12,in-up,Stabilizer,Backup Problem,Safari,Customer
2023-01-30,in-dd,Stabilizer,Switch Problem,Spare Parts Unavailable,Dealer
2023-06-30,in-ap,UPS XP,Switch Problem,Estimation Pending Approval,Dealer
2022-09-24,in-pb,UPS E2,No Display,Installation Done,Call
2023-03-16,in-hp,UPS XP,Load Problem,Installation Done,Call Center
2023-03-24,in-gj,Online UPS,BEEP Sound,Spare Parts Unavailable,Call
2023-04-27,in-py,Online UPS,Charging Problem,Assigned,Dealer
2023-06-19,in-pb,Online UPS,Charging Problem,Estimation Pending Approval,Customer
2023-03-28,in-hr,Online UPS,Backup Problem,Spare Parts Unavailable,Carry in
2023-08-27,in-ut,UPS XP,Switch Problem,Installation Done,Call Center
2022-11-18,in-ct,Stabilizer,Charging Problem,Assigned,Customer
2023-05-21,in-wb,UPS XP,No Output Voltage,Installation Done,Call Center
2022-11-16,in-nl,UPS XP,No Output Voltage,Estimation Pending Approval,Carry in
2023-01-31,in-ct,UPS XP,Charging Problem,Estimation Pending Approval,Carry in
2022-12-22,in-ap,UPS EB,BEEP Sound,Estimation Pending Approval,Email
2022-10-19,in-rj,Stabilizer,Switch Problem,Assigned,Carry in
2023-02-05,in-kl,Stabilizer,No Display,Assigned,Whatsapp
2022-09-19,in-ct,Online UPS,Charging Problem,Installation Done,Email
2023-02-14,in-ch,Stabilizer,Charging Problem,Spare Parts Unavailable,Customer
2023-08-21,in-dl,UPS XP,No Output Voltage,Spare Parts Unavailable,Call Center
2023-03-29,in-mn,UPS XP,Charging Problem,Estimation Pending Approval,Email
2022-12-26,in-tr,Stabilizer,No Display,Assigned,Dealer
2022-09-25,in-dn,UPS EB,Switch Problem,Estimation Pending Approval,Carry in
2022-10-17,in-tr,UPS XP,Switch Problem,Installation Done,Call Center
2022-11-22,in-sk,UPS XP,Backup Problem,Spare Parts Unavailable,Carry in
2023-04-27,in-hp,Stabilizer,Charging Problem,Installation Done,Call
2022-11-05,in-ar,UPS EB,No Output Voltage,Spare Parts Unavailable,Call Center
2023-07-07,in-up,Online UPS,No Display,Spare Parts Unavailable,Customer
2023-01-31,in-up,UPS E2,No Display,Estimation Pending Approval,Call
2023-04-24,in-hr,Stabilizer,No Output Voltage,Safari,Customer
2023-06-20,in-ar,Stabilizer,Backup Problem,Installation Done,Carry in
2023-07-27,in-dd,Stabilizer,BEEP Sound,Spare Parts Unavailable,Email
2022-09-02,in-ar,UPS XP,BEEP Sound,Safari,Call
2022-10-24,in-tg,Stabilizer,Load Problem,Installation Done,Call Center
2023-06-13,in-mn,Stabilizer,Switch Problem,Spare Parts Unavailable,Call Center
2023-03-20,in-tg,Stabilizer,No Output Voltage,Safari,Call Center
2023-01-05,in-dl,UPS E2,No Output Voltage,Safari,Carry in
2022-10-09,in-ka,UPS XP,Charging Problem,Assigned,Dealer
2023-04-23,in-ar,Jumbo,Switch Problem,Safari,Customer
2022-10-13,in-pb,Stabilizer,No Output Voltage,Installation Done,Whatsapp
2023-03-04,in-pb,UPS EB,Switch Problem,Estimation Pending Approval,Whatsapp
2023-05-20,in-ga,UPS XP,Load Problem,Spare Parts Unavailable,Call Center
2023-01-01,in-jh,UPS EB,Load Problem,Assigned,Call
2022-10-07,in-ka,Jumbo,Switch Problem,Estimation Pending Approval,Email
2023-02-19,in-up,Online UPS,Charging Problem,Estimation Pending Approval,Carry in
2022-09-01,in-mz,UPS E2,No Display,Assigned,Whatsapp
2023-03-10,in-ka,Online UPS,No Output Voltage,Safari,Whatsapp
2023-02-07,in-dl,Online UPS,Backup Problem,Spare Parts Unavailable,Whatsapp
2022-09-15,in-ml,Jumbo,Switch Problem,Safari,Call
2023-06-25,in-up,UPS EB,Switch Problem,Assigned,Carry in
2023-01-17,in-mn,UPS E2,BEEP Sound,Safari,Customer
2023-06-19,in-or,UPS E2,BEEP Sound,Installation Done,Carry in
2023-01-09,in-rj,UPS XP,Charging Problem,Estimation Pending Approval,Email
2023-01-29,in-nl,Jumbo,Backup Problem,Spare Parts Unavailable,Customer
2022-11-04,in-kl,Stabilizer,No Display,Spare Parts Unavailable,Email
2023-08-31,in-ga,UPS XP,Switch Problem,Installation Done,Carry in
2023-01-27,in-an,UPS XP,No Display,Estimation Pending Approval,Carry in
2023-08-15,in-ml,UPS E2,BEEP Sound,Spare Parts Unavailable,Customer
2023-05-16,in-gj,UPS EB,No Output Voltage,Installation Done,Email
2022-10-08,in-ga,UPS E2,Charging Problem,Safari,Call
2022-09-25,in-jh,UPS XP,BEEP Sound,Spare Parts Unavailable,Call
2023-03-06,in-br,Online UPS,No Display,Safari,Email
2022-11-20,in-sk,Stabilizer,No Output Voltage,Installation Done,Dealer
2023-06-19,in-tn,UPS XP,No Output Voltage,Safari,Dealer
2023-05-04,in-ut,UPS XP,Backup Problem,Estimation Pending Approval,Customer
2023-04-24,in-nl,Stabilizer,Switch Problem,Installation Done,Email
2023-02-17,in-ar,UPS XP,Charging Problem,Spare Parts Unavailable,Carry in
2022-09-20,in-tg,Stabilizer,BEEP Sound,Assigned,Carry in
2023-04-10,in-mz,Jumbo,Charging Problem,Estimation Pending Approval,Carry in
2022-10-30,in-jh,Online UPS,Switch Problem,Assigned,Call Center
2022-09-24,in-ut,Stabilizer,Load Problem,Safari,Carry in
2022-10-26,in-ct,UPS EB,Switch Problem,Installation Done,Call Center
2023-03-13,in-up,UPS E2,Backup Problem,Installation Done,Dealer
2022-12-25,in-pb,UPS E2,Backup Problem,Spare Parts Unavailable,Carry in
2022-09-02,in-ut,Jumbo,Switch Problem,Assigned,Carry in
2022-11-22,in-dl,Jumbo,BEEP Sound,Installation Done,Email
2022-11-12,in-ld,Online UPS,Switch Problem,Safari,Whatsapp
2022-10-28,in-mz,UPS XP,No Display,Assigned,Call
2023-04-18,in-mn,Stabilizer,Backup Problem,Assigned,Customer
2022-09-28,in-nl,UPS XP,Backup Problem,Installation Done,Customer
2022-09-30,in-ka,Stabilizer,Load Problem,Spare Parts Unavailable,Email
2022-09-28,in-hp,UPS E2,No Display,Spare Parts Unavailable,Dealer
2022-10-08,in-tr,UPS XP,Charging Problem,Estimation Pending Approval,Call Center
2022-09-18,in-rj,Jumbo,Switch Problem,Estimation Pending Approval,Carry in
2022-10-20,in-mp,UPS EB,No Display,Spare Parts Unavailable,Call
2023-01-21,in-kl,UPS EB,Load Problem,Assigned,Call
2023-04-10,in-hr,UPS E2,Backup Problem,Spare Parts Unavailable,Whatsapp
2022-09-01,in-sk,UPS XP,BEEP Sound,Estimation Pending Approval,Email
2022-12-06,in-br,UPS EB,Charging Problem,Safari,Carry in
2023-04-18,in-py,Online UPS,No Output Voltage,Safari,Whatsapp
2022-11-17,in-py,Stabilizer,Charging Problem,Installation Done,Email
2023-08-17,in-or,UPS EB,Switch Problem,Assigned,Dealer
2022-09-03,in-tn,UPS E2,No Display,Spare Parts Unavailable,Dealer
2023-02-28,in-hr,Jumbo,Switch Problem,Safari,Call
2023-04-22,in-rj,UPS E2,No Output Voltage,Assigned,Dealer
2022-09-21,in-tn,UPS EB,No Output Voltage,Assigned,Dealer
2022-11-18,in-an,Online UPS,No Output Voltage,Estimation Pending Approval,Email
2023-08-08,in-kl,UPS EB,Load Problem,Assigned,Carry in
2023-07-06,in-hr,UPS EB,Backup Problem,Assigned,Call
2023-03-31,in-dn,UPS EB,Charging Problem,Installation Done,Email
2023-08-05,in-or,Jumbo,Backup Problem,Safari,Email
2023-06-04,in-ap,Online UPS,Charging Problem,Estimation Pending Approval,Call Center
2022-10-06,in-mn,Jumbo,No Output Voltage,Estimation Pending Approval,Customer
2023-05-27,in-tr,UPS EB,Switch Problem,Spare Parts Unavailable,Customer
2022-12-09,in-dl,Online UPS,BEEP Sound,Assigned,Carry in
2023-04-06,in-dn,UPS EB,No Output Voltage,Estimation Pending Approval,Customer
2022-10-18,in-ut,UPS E2,Switch Problem,Estimation Pending Approval,Call Center
2023-03-20,in-mh,Stabilizer,No Display,Estimation Pending Approval,Customer
2022-11-18,in-ut,Stabilizer,Backup Problem,Assigned,Call Center
2023-05-24,in-hr,UPS EB,Load Problem,Spare Parts Unavailable,Call Center
2023-04-29,in-dd,Online UPS,Switch Problem,Estimation Pending Approval,Carry in
2023-03-11,in-br,Online UPS,Backup Problem,Estimation Pending Approval,Email
2023-08-16,in-ga,Stabilizer,Switch Problem,Assigned,Whatsapp
2023-04-17,in-jh,Stabilizer,No Output Voltage,Spare Parts Unavailable,Call Center
2023-01-14,in-mn,UPS E2,Charging Problem,Assigned,Whatsapp
2023-07-14,in-mp,Stabilizer,No Display,Estimation Pending Approval,Customer
2023-05-07,in-or,Jumbo,Switch Problem,Installation Done,Customer
2023-01-14,in-hp,UPS E2,Backup Problem,Assigned,Call Center
2023-01-14,in-ml,Jumbo,No Display,Assigned,Carry in
2022-12-31,in-ct,Online UPS,Switch Problem,Installation Done,Call Center
2023-08-20,in-py,Stabilizer,Load Problem,Assigned,Customer
2022-11-10,in-ct,Stabilizer,Switch Problem,Installation Done,Call
2022-12-26,in-ap,UPS EB,BEEP Sound,Spare Parts Unavailable,Whatsapp
2022-09-22,in-hp,UPS E2,Backup Problem,Installation Done,Whatsapp
2023-01-11,in-tn,UPS EB,Switch Problem,Safari,Carry in
2022-09-27,in-dl,UPS E2,BEEP Sound,Assigned,Carry in
2023-02-19,in-up,Online UPS,No Display,Spare Parts Unavailable,Dealer
2023-05-23,in-an,Jumbo,Switch Problem,Spare Parts Unavailable,Email
2023-03-07,in-hr,Stabilizer,BEEP Sound,Spare Parts Unavailable,Call Center
2023-04-07,in-tg,UPS E2,No Display,Assigned,Customer
2022-10-26,in-mz,Online UPS,BEEP Sound,Spare Parts Unavailable,Call
2023-06-07,in-gj,UPS E2,BEEP Sound,Estimation Pending Approval,Call
2022-09-03,in-an,UPS XP,Charging Problem,Estimation Pending Approval,Call Center
2022-11-22,in-mp,Online UPS,No Display,Spare Parts Unavailable,Dealer
2023-05-15,in-rj,Jumbo,No Display,Assigned,Customer
2023-03-22,in-mp,UPS XP,Switch Problem,Assigned,Dealer
2022-11-10,in-ld,UPS EB,Load Problem,Assigned,Dealer
2022-11-19,in-rj,Online UPS,Load Problem,Estimation Pending Approval,Call Center
2022-12-16,in-py,Online UPS,BEEP Sound,Spare Parts Unavailable,Call Center
2023-02-07,in-gj,UPS XP,Backup Problem,Safari,Email
2022-12-28,in-mp,Online UPS,No Display,Assigned,Call Center
2023-08-16,in-ct,UPS E2,BEEP Sound,Safari,Call Center
2022-12-16,in-or,Online UPS,Switch Problem,Installation Done,Dealer
2022-10-12,in-mz,Online UPS,No Output Voltage,Safari,Email
2023-02-05,in-jh,UPS EB,BEEP Sound,Installation Done,Dealer
2023-04-11,in-py,UPS XP,No Output Voltage,Assigned,Call
2022-09-02,in-ml,UPS EB,No Display,Safari,Call Center
2022-11-27,in-dd,Jumbo,BEEP Sound,Assigned,Whatsapp
2023-02-16,in-mh,UPS EB,Switch Problem,Assigned,Email
2023-01-01,in-sk,Online UPS,No Output Voltage,Spare Parts Unavailable,Customer
2022-09-05,in-pb,UPS EB,BEEP Sound,Estimation Pending Approval,Email
2022-09-20,in-dn,Online UPS,Backup Problem,Assigned,Whatsapp
2022-10-14,in-mz,UPS E2,Switch Problem,Spare Parts Unavailable,Customer
2023-08-31,in-or,Stabilizer,No Display,Spare Parts Unavailable,Call
2022-10-24,in-dn,Online UPS,BEEP Sound,Installation Done,Customer
2022-11-20,in-ml,Jumbo,No Display,Estimation Pending Approval,Email
2023-03-07,in-dd,UPS XP,No Output Voltage,Assigned,Email
2022-12-12,in-ch,UPS XP,Load Problem,Spare Parts Unavailable,Customer
2023-05-10,in-rj,UPS EB,Switch Problem,Estimation Pending Approval,Customer
2023-05-21,in-dl,Stabilizer,Load Problem,Safari,Whatsapp
2023-03-30,in-mp,UPS E2,Backup Problem,Spare Parts Unavailable,Carry in
2022-09-27,in-kl,UPS E2,Switch Problem,Estimation Pending Approval,Whatsapp
2023-01-07,in-ar,UPS XP,No Output Voltage,Estimation Pending Approval,Carry in
2022-12-02,in-br,Jumbo,Load Problem,Safari,Dealer
2023-07-13,in-up,Stabilizer,Charging Problem,Installation Done,Whatsapp
2023-03-11,in-rj,UPS E2,No Display,Safari,Carry in
2023-06-18,in-mz,UPS XP,Backup Problem,Installation Done,Email
2022-12-08,in-dd,Stabilizer,No Output Voltage,Installation Done,Email
2022-10-06,in-dl,UPS EB,BEEP Sound,Installation Done,Call
2023-06-19,in-ut,UPS E2,Load Problem,Safari,Email
2023-04-07,in-py,Jumbo,Switch Problem,Assigned,Call Center
2022-12-18,in-ut,Stabilizer,Load Problem,Spare Parts Unavailable,Dealer
2022-12-26,in-kl,Online UPS,Charging Problem,Installation Done,Call Center
2023-03-11,in-hp,UPS E2,Load Problem,Safari,Email
2022-12-23,in-mz,UPS E2,No Display,Estimation Pending Approval,Dealer
